placa,anio_pago,marca,modelo,anio_modelo,pais,ramv,canton,clase,servicio,cilindraje,fecha_caducidad,fecha_ultima,fecha_compra,fecha_matricula,total_pagar
ABB7583,2025,NISSAN,ALMERA 1.6 MT AIRBAG Y AC,2010,COREA DEL SUR,-,TOSAGUA,AUTOMOVIL,PARTICULAR,1600,25-06-2028,27-06-2023,15-12-2009,07-05-2024,USD $78.63
PBS7427,2025,VOLKSWAGEN,GOL HATCHBACK POWER 5U11F4,2011,BRASIL,T01044866,AMBATO,AUTOMOVIL,PARTICULAR,1596,18-08-2025,19-08-2020,20-04-2011,19-08-2020,USD $77.28
POH554,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE
PSO422,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE
PBY2019,2025,VOLKSWAGEN,GOL HB POWER AC 5U11F4,2012,BRASIL,T01156554,GUAMOTE,AUTOMOVIL,PARTICULAR,1600,03-04-2030,04-04-2025,09-02-2012,19-02-2025,USD $78.18
PBS1890,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
PLA0361,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
PYK0231,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
POT031,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE
POO910,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE
PKI354,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE
PBK5578,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
PSU190,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE
HBB9094,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
PDE7700,2025,TOYOTA,YARIS SD AC 1.5 4P 4X2 TM,2021,TAILANDIA,-,CAYAMBE,AUTOMOVIL,PARTICULAR,1496,01-05-2029,02-05-2024,23-04-2021,26-11-2025,USD $67.11
GSD1863,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
PBL6658,2025,TOYOTA,UU YARIS SEDAN 1.3 TM PP SIN AA,2010,JAPON,-,AMBATO,AUTOMOVIL,PARTICULAR,1300,16-01-2029,18-01-2024,07-07-2009,01-09-2025,USD $74.35
PBV3258,2025,TOYOTA,AUT FORTUNER TA,2012,TAILANDIA,-,ROCAFUERTE,JEEP,PARTICULAR,2700,25-12-2029,26-12-2024,24-11-2011,25-04-2023,USD $126.13
PDC6587,2025,TOYOTA,NEW FORTUNER AC 2.7 5P 4X4 TA,2019,ARGENTINA,-,MACHALA,JEEP,PARTICULAR,2694,16-10-2030,17-10-2025,11-04-2018,11-04-2025,USD $120.18
PCT8894,2025,TOYOTA,NEW FORTUNER AC 2.7 5P 4X4 TM,2017,INDONESIA,-,CAYAMBE,JEEP,PARTICULAR,2694,23-03-2030,24-03-2025,21-12-2016,24-03-2025,USD $124.18
PVI457,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE
GSJ1311,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
PBJ7625,2025,TOYOTA,FORTUNER AC 2.7 5P 4X4 TA,2015,INDONESIA,U01505719,SALCEDO,JEEP,PARTICULAR,2694,01-11-2027,02-11-2022,12-09-2014,02-11-2022,USD $132.63
PCE3660,2025,TOYOTA,AWT FORTUNER TM 2.7 5P 4X4,2013,TAILANDIA,E01226923,IBARRA,JEEP,PARTICULAR,2700,30-11-2029,05-02-2024,23-10-2012,05-02-2024,USD $127.63
PQV0983,2025,TOYOTA,4 RUNNER 4X4 TA LIMITED,2007,JAPON,-,QUITO,JEEP,PARTICULAR,4000,07-11-2029,08-11-2024,18-04-2007,08-11-2024,USD $133.39
GSV2482,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
PBW6997,2025,TOYOTA,AWT FORTUNER TM,2012,TAILANDIA,-,QUITO,JEEP,PARTICULAR,2700,08-09-2029,09-09-2024,12-10-2011,13-08-2025,USD $122.13
GQK278,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE
HCA057,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE
PXO442,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE
ABD1672,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
PBB4045,2025,TOYOTA,BW FORTUNER TM,2008,VENEZUELA,E00629193,AMBATO,JEEP,PARTICULAR,4000,19-08-2029,20-08-2024,28-12-2007,05-06-2025,USD $128.41
IBB9207,2025,TOYOTA,FORTUNER AC 2.7 5P 4X4 TM,2014,TAILANDIA,-,QUITO,JEEP,PARTICULAR,2694,31-08-2028,05-05-2023,17-07-2013,30-07-2025,USD $123.63
UBA7877,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
OAA1188,2024,NISSAN,SENTRA 1.6 MT AC,2012,MEXICO,T01151350,QUITO,AUTOMOVIL,PARTICULAR,1600,07-05-2028,09-05-2023,26-01-2012,16-10-2024,USD $185.59
PCN2230,2025,TOYOTA,FORTUNER AC 2.7 5P 4X4 TM,2015,INDONESIA,U01556236,CHONE,JEEP,PARTICULAR,2694,13-11-2027,14-11-2022,27-03-2015,26-11-2025,USD $128.63
PDS4071,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
MBC6639,2025,TOYOTA,NEW FORTUNER AC 2.7 5P 4X4 TA,2017,INDONESIA,-,JIPIJAPA,JEEP,PARTICULAR,2694,16-12-2029,17-12-2024,19-12-2016,12-12-2025,USD $127.18
GSK7962,2025,TOYOTA,FORTUNER AC 2.7 5P 4X4 TA,2014,INDONESIA,E01407716,PUERTO QUITO,JEEP,PARTICULAR,2700,04-12-2029,05-12-2024,13-02-2014,21-03-2025,USD $128.63
PDI2637,2025,DFSK,GLORY 580 AC 1.5 5P 4X2 TM,2019,CHINA POPULAR,-,QUITO,JEEP,PARTICULAR,1499,31-08-2029,06-09-2024,29-03-2019,11-03-2025,USD $201.7
GSJ1516,2025,TOYOTA,FORTUNER AC 2.7 5P 4X4 TA,2014,TAILANDIA,E01343375,ALFREDO BAQUERIZO MORENO,JEEP,PARTICULAR,2694,12-08-2030,13-08-2025,26-08-2013,23-02-2024,USD $137.63
GOD882,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE
PCV6638,2025,TOYOTA,HILUX SR 2.7 CD 4X4 TM,2020,ARGENTINA,-,RIOBAMBA,CAMIONETA,PARTICULAR,2694,19-03-2029,20-03-2024,30-10-2019,12-08-2025,USD $110.19
PCJ5509,2025,TOYOTA,FORTUNER AC 2.7 5P 4X4 TM,2014,INDONESIA,-,MEJIA,JEEP,PARTICULAR,2694,28-10-2028,30-10-2023,18-02-2014,28-10-2025,USD $124.07
PCU1868,2025,TOYOTA,NEW FORTUNER AC 2.7 5P 4X4 TM,2017,INDONESIA,E02072597,PUCARA,JEEP,PARTICULAR,2694,18-06-2030,19-06-2025,27-01-2017,19-06-2025,USD $124.18
GTE9587,2025,KIA,PREGIO 17 PASAJEROS,2005,COREA DEL SUR,-,EL GUABO,CAMIONETA,PARTICULAR,3000,21-02-2029,23-02-2024,11-01-2005,22-08-2025,USD $110.39
TBE2979,2025,TOYOTA,FORTUNER AC 2.7 5P 4X4 TM,2014,INDONESIA,E01411286,PAUTE,JEEP,PARTICULAR,2694,28-05-2029,29-05-2024,26-02-2014,12-12-2025,USD $124.07
IBD3813,2025,TOYOTA,NEW FORTUNER AC 2.7 5P 4X4 TM,2018,INDONESIA,E02130852,SALCEDO,JEEP,PARTICULAR,2694,30-04-2030,05-08-2025,31-08-2017,16-04-2025,USD $117.18
PBI4867,2025,CHANGHE,CH6390,2009,CHINA POPULAR,-,QUITO,CAMIONETA,PARTICULAR,1050,28-03-2027,29-03-2022,06-05-2010,05-09-2024,USD $89.46
PDJ5236,2025,DONGFENG,AX7 AC 2.0 5P 4X2 TA,2019,CHINA POPULAR,-,QUITO,JEEP,PARTICULAR,1997,22-05-2029,23-05-2024,30-04-2019,26-12-2025,USD $76.74
TBH4514,2024,GREAT WALL,HAVAL M4 AC 1.5 5P 4X2 TM,2019,ECUADOR,-,TOSAGUA,JEEP,PARTICULAR,1497,18-12-2028,20-12-2023,30-11-2018,21-11-2023,USD $202.83
PDU1982,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
PDM7200,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
PDD3301,2025,KIA,PICANTO EX AC 1.2 4P 4X2 TM,2019,COREA DEL SUR,-,QUITO,AUTOMOVIL,PARTICULAR,1248,29-02-2028,24-02-2023,26-04-2018,24-02-2025,USD $64.86
PIY497,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE
PCR4006,2025,FORD,F150 LARIAT SC ECOBOOST AC 3.5 CD 4X4 TA,2015,ESTADOS UNIDOS,-,QUITO,CAMIONETA,PARTICULAR,3500,24-09-2030,25-09-2025,06-01-2016,20-06-2025,USD $158.63
PPA6635,2025,FORD,F 150 DOBLE CABINA 4X2 W1C,2010,ESTADOS UNIDOS,-,CHONE,CAMIONETA,PARTICULAR,4600,23-01-2029,25-01-2024,09-08-2010,17-12-2025,USD $116.64
PCA9905,2025,FORD,F150 SC FX4 4X4,2012,ESTADOS UNIDOS,G01199299,NARANJAL,CAMIONETA,PARTICULAR,4951,18-03-2029,19-03-2024,21-06-2012,19-03-2024,USD $148.63
PCC5794,2025,FORD,F 150 SUPER CREW 4X2 W12,2009,ESTADOS UNIDOS,-,PENIPE,CAMIONETA,PARTICULAR,4600,26-09-2029,27-09-2024,30-10-2009,18-07-2025,USD $118.64
GGH249,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE
GRZ4287,2025,FORD,F 150 DOBLE CABINA 4X2 W1C,2010,ESTADOS UNIDOS,-,TOSAGUA,CAMIONETA,PARTICULAR,4600,10-06-2029,11-06-2024,31-08-2010,11-06-2024,USD $108.09
PBW8092,2025,FORD,F150 RC 4X4 4.6L F1EB,2010,ESTADOS UNIDOS,-,SAN VICENTE,CAMIONETA,PARTICULAR,4600,03-12-2030,04-12-2025,31-08-2011,30-04-2024,USD $113.64
GSI8473,2025,FORD,F150 AC 3.7 CD 4X2 TA,2013,ESTADOS UNIDOS,G01332580,CALUMA,CAMIONETA,PARTICULAR,3726,28-08-2030,29-08-2025,02-08-2013,29-08-2025,USD $118.64
GRW2122,2025,FORD,F150 XL 4X4,2009,ESTADOS UNIDOS,-,LOJA,CAMIONETA,PARTICULAR,4600,10-12-2026,18-06-2021,16-09-2009,01-01-2025,USD $206.33
PBR6866,2025,FORD,F 150 DOBLE CABINA 4X2 W1C,2010,ESTADOS UNIDOS,-,QUITO,CAMIONETA,PARTICULAR,4600,18-05-2022,19-05-2017,20-01-2011,14-06-2021,USD $116.64
PDC5196,2025,FORD,MUSTANG AC 5.0 2P 4X2 TA,2017,ESTADOS UNIDOS,G02155651,AMBATO,AUTOMOVIL,PARTICULAR,4951,29-01-2030,30-01-2025,05-04-2018,30-01-2025,USD $157.65
GCB3887,2025,KIA,SPORTAGE SL AC 2.0 5P 4X2 TM,2019,ECUADOR,-,GUAYAQUIL,JEEP,PARTICULAR,2000,03-09-2028,05-09-2023,09-11-2018,23-11-2024,USD $85.74
GSA1078,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
PSW0825,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
IBB4617,2025,FORD,F150 SC 4X2,2012,ESTADOS UNIDOS,-,CAYAMBE,CAMIONETA,PARTICULAR,3726,31-01-2029,02-02-2024,07-09-2012,08-08-2025,USD $118.64
PPB3183,2025,FORD,F150 RC 4X4 4.6L F1EB,2010,ESTADOS UNIDOS,-,CUENCA,CAMIONETA,PARTICULAR,4600,07-05-2029,08-05-2024,28-07-2010,31-05-2025,USD $145.68
PBB3163,2024,FORD,F 150 XLT CREW CAB 4X4,2007,ESTADOS UNIDOS,-,OLMEDO,CAMIONETA,PARTICULAR,5400,07-09-2027,08-09-2022,27-11-2007,25-09-2023,USD $325.4
PBR9363,2026,FORD,F150 RC 4X4 4.6L F1EB,2010,ESTADOS UNIDOS,T01029217,ALFREDO BAQUERIZO MORENO,CAMIONETA,PARTICULAR,4600,13-11-2028,15-11-2023,03-03-2011,15-11-2023,USD $108.39
PCA8743,2025,FORD,F150 SC 4X4 5.0L,2012,ESTADOS UNIDOS,T01191868,QUITO,CAMIONETA,PARTICULAR,5000,06-11-2027,07-11-2022,30-05-2012,23-04-2025,USD $136.63
PCB4968,2025,FORD,F150 REGULAR CAB 4X4,2012,ESTADOS UNIDOS,G01159094,QUITO,CAMIONETA,PARTICULAR,3726,30-09-2029,01-10-2024,29-05-2012,01-10-2024,USD $116.64
PYF0032,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
GRY3982,2024,CHEVROLET,TAHOE HIBRIDA 5P 6.0L 4X2 TA,2010,ESTADOS UNIDOS,-,NARANJAL,JEEP,PARTICULAR,6000,02-07-2029,03-07-2024,18-08-2017,27-03-2024,USD $436.08
PCN4100,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
PQI687,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE
PBS2033,2025,FORD,F 150 DOBLE CABINA 4X2 W1C,2010,ESTADOS UNIDOS,-,QUITO,CAMIONETA,PARTICULAR,4600,28-02-2028,01-03-2023,31-03-2011,13-05-2024,USD $116.64
PVE750,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE
IBB4572,2026,FORD,F150 SC 4X2,2012,ESTADOS UNIDOS,T01210756,24 DE MAYO,CAMIONETA,PARTICULAR,3700,01-08-2028,03-08-2023,30-07-2012,03-08-2023,USD $51.58
PBN7524,2025,VOLKSWAGEN,TOUAREG R5 TDI 2.5L 7L6013,2009,ALEMANIA,G00953591,GENERAL ANTONIO ELIZALDE,JEEP,PARTICULAR,2500,09-05-2030,09-05-2025,04-11-2010,09-05-2025,USD $163.94
ACE298,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE
GQV0839,2025,HONDA,CRV RE3838L KK,2008,JAPON,-,PUEBLO VIEJO,JEEP,PARTICULAR,2400,04-05-2030,05-05-2025,24-04-2008,05-05-2025,USD $111.59
AAW0169,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
EAA1748,2024,KAMAZ,6522 AC 11.8 2P 6X6 TM DIESEL,2019,RUSIA,-,FLAVIO ALFARO,VOLQUETA,ALQUILER,11760,13-03-2029,14-03-2024,15-07-2019,14-03-2024,USD $1445.82
PCM5494,2025,VOLVO,S60 T5 AC 2.0 4P 4X2 TA,2014,BELGICA,T01453514,QUITO,AUTOMOVIL,PARTICULAR,2000,15-05-2029,16-05-2024,25-09-2014,16-05-2024,USD $84.14
PCO118,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE
PSD0802,2023,VOLVO,850,1995,SUECIA,-,QUITO,AUTOMOVIL,PARTICULAR,2435,15-08-2028,17-08-2023,01-01-1995,17-08-2023,USD $449.62
PBY7538,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
PGJ636,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE
GSA5559,2025,FORD,MUSTANG V6 MT,2011,ESTADOS UNIDOS,G01065632,GUANO,AUTOMOVIL,PARTICULAR,2000,08-04-2029,09-04-2024,18-04-2011,20-05-2025,USD $89.78
TBB9952,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
HBA1909,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
RBA2881,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
PFG2206,2025,SUZUKI,GRAND VITARA SZ 2.7L V6 5P TM 4X4,2010,ECUADOR,-,CAYAMBE,JEEP,PARTICULAR,2700,21-01-2029,23-01-2024,19-11-2009,04-07-2025,USD $113.14
PCL3640,2025,CHEVROLET,GRAND VITARA STD 2.0 5P 4X2 TM,2015,ECUADOR,B7640090686,CAYAMBE,JEEP,PARTICULAR,1995,17-03-2029,18-03-2024,08-08-2014,06-11-2025,USD $82.08
